"","X","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days"
"60",1893,"CBG21","Conepatus leuconotus","30/09/2020 5:03","30/09/2020","5:03:09",1297377,21623,360.4,15
"61",1991,"CBG22","Conepatus leuconotus","27/03/2020 22:23","27/03/2020","22:23:54",0,0,0,0
"62",1992,"CBG22","Conepatus leuconotus","5/06/2020 0:09","5/06/2020","0:09:24",5964208,99403.5,1656.7,69
"63",1993,"CBG22","Conepatus leuconotus","18/06/2020 19:56","18/06/2020","19:56:57",1194451,19907.5,331.8,13.8
"64",1994,"CBG22","Conepatus leuconotus","10/07/2020 0:01","10/07/2020","0:01:28",1829068,30484.5,508.1,21.2
"65",1995,"CBG22","Conepatus leuconotus","20/07/2020 19:46","20/07/2020","19:46:20",935092,15584.9,259.7,10.8
"66",1996,"CBG22","Conepatus leuconotus","11/08/2020 2:43","11/08/2020","2:43:44",1839441,30657.3,511,21.3
"67",1997,"CBG22","Conepatus leuconotus","16/08/2020 22:23","16/08/2020","22:23:30",502783,8379.7,139.7,5.8
"68",1998,"CBG22","Conepatus leuconotus","26/08/2020 1:26","26/08/2020","1:26:28",788577,13143,219.1,9.1
"69",1999,"CBG22","Conepatus leuconotus","3/09/2020 2:10","3/09/2020","2:10:24",693836,11563.9,192.7,8
"70",2000,"CBG22","Conepatus leuconotus","5/09/2020 3:00","5/09/2020","3:00:28",175801,2930,48.8,2
"71",2009,"CBG22","Mephitis macroura","15/06/2020 3:25","15/06/2020","3:25:42",0,0,0,0
"72",2010,"CBG22","Mephitis macroura","9/08/2020 20:48","9/08/2020","20:48:05",4814319,80238.6,1337.3,55.7
"73",2011,"CBG22","Mephitis macroura","1/09/2020 2:55","1/09/2020","2:55:31",1922843,32047.4,534.1,22.3
"74",2181,"CBG25","Conepatus leuconotus","31/03/2020 19:14","31/03/2020","19:14:20",0,0,0,0
"75",2182,"CBG25","Conepatus leuconotus","4/04/2020 5:35","4/04/2020","5:35:36",296474,4941.2,82.4,3.4
"76",2183,"CBG25","Conepatus leuconotus","13/04/2020 23:28","13/04/2020","23:28:48",838389,13973.1,232.9,9.7
"77",2184,"CBG25","Conepatus leuconotus","1/05/2020 23:44","1/05/2020","23:44:18",1556128,25935.5,432.3,18
"78",2185,"CBG25","Conepatus leuconotus","29/06/2020 4:57","29/06/2020","4:57:54",5030014,83833.6,1397.2,58.2
"79",2186,"CBG25","Conepatus leuconotus","24/07/2020 4:42","24/07/2020","4:42:27",2159070,35984.5,599.7,25
"80",2187,"CBG25","Conepatus leuconotus","25/07/2020 4:58","25/07/2020","4:58:30",87360,1456,24.3,1
"81",2188,"CBG25","Conepatus leuconotus","15/09/2020 3:53","15/09/2020","3:53:26",4488893,74814.9,1246.9,52
"82",2189,"CBG25","Conepatus leuconotus","16/09/2020 1:22","16/09/2020","1:22:56",77365,1289.4,21.5,0.9
"83",2345,"CBG26","Mephitis macroura","2/05/2020 1:07","2/05/2020","1:07:41",0,0,0,0
"84",2398,"CBG27","Conepatus leuconotus","28/03/2020 23:20","28/03/2020","23:20:30",0,0,0,0
"85",2399,"CBG27","Conepatus leuconotus","2/05/2020 4:36","2/05/2020","4:36:14",2952941,49215.7,820.3,34.2
"86",2582,"CBG28","Conepatus leuconotus","2/03/2020 2:37","2/03/2020","2:37:16",0,0,0,0
"87",2583,"CBG28","Conepatus leuconotus","12/04/2020 19:21","12/04/2020","19:21:24",3599045,59984.1,999.7,41.7
"88",2584,"CBG28","Conepatus leuconotus","19/04/2020 0:32","19/04/2020","0:32:02",537035,8950.6,149.2,6.2
"89",2593,"CBG28","Mephitis macroura","23/02/2020 5:30","23/02/2020","5:30:39",0,0,0,0
"90",2594,"CBG28","Mephitis macroura","24/02/2020 2:12","24/02/2020","2:12:22",74500,1241.7,20.7,0.9
"91",2595,"CBG28","Mephitis macroura","25/02/2020 4:05","25/02/2020","4:05:01",93156,1552.6,25.9,1.1
"92",2596,"CBG28","Mephitis macroura","28/02/2020 23:55","28/02/2020","23:55:16",330612,5510.2,91.8,3.8
"93",2597,"CBG28","Mephitis macroura","1/03/2020 2:37","1/03/2020","2:37:37",96139,1602.3,26.7,1.1
"94",2598,"CBG28","Mephitis macroura","3/03/2020 6:05","3/03/2020","6:05:40",185283,3088.1,51.5,2.1
"95",2599,"CBG28","Mephitis macroura","4/03/2020 2:47","4/03/2020","2:47:51",74528,1242.1,20.7,0.9
"96",2600,"CBG28","Mephitis macroura","4/03/2020 6:02","4/03/2020","6:02:40",11687,194.8,3.2,0.1
"97",2601,"CBG28","Mephitis macroura","5/03/2020 2:35","5/03/2020","2:35:57",73997,1233.3,20.6,0.9
"98",2602,"CBG28","Mephitis macroura","7/03/2020 22:10","7/03/2020","22:10:05",243245,4054.1,67.6,2.8
"99",2739,"CBG29","Conepatus leuconotus","1/03/2020 2:39","1/03/2020","2:39:17",0,0,0,0
